代码,名称,日期,收盘价,涨跌幅,成交量比VMA5,换手率
002723,小崧股份,2026-02-11,11.62,10.04%,3.18,33.29
000892,欢瑞世纪,2026-02-11,9.87,10.03%,3.59,33.69
002455,百川股份,2026-02-11,14.83,10.01%,1.22,19.44
603729,龙韵股份,2026-02-11,23.76,10.0%,1.51,1.27
001330,博纳影业,2026-02-11,13.4,7.46%,2.09,31.91
600987,航民股份,2026-02-11,8.62,4.74%,1.06,5.26
601699,潞安环能,2026-02-11,14.15,3.51%,1.23,2.08
688277,天智航,2026-01-21,23.88,12.38%,1.33,8.26
600391,航发科技,2025-12-25,36.52,10.0%,1.03,13.03
002977,天箭科技,2025-12-25,43.1,3.98%,1.05,18.17
001379,腾达科技,2025-12-25,24.99,3.91%,1.14,29.11
002985,北摩高科,2025-12-25,31.78,3.52%,1.13,11.51
