code,name
000050,深天马Ａ
000060,中金岭南
000155,川能动力
000157,中联重科
000159,国际实业
000411,英特集团
000501,武商集团
000506,招金黄金
000533,顺钠股份
000551,创元科技
000555,神州信息
000559,万向钱潮
000561,烽火电子
000593,德龙汇能
000598,兴蓉环境
000612,焦作万方
000630,铜陵有色
000635,英 力 特
000636,风华高科
000682,东方电子
000683,博源化工
000721,西安饮食
000739,普洛药业
000758,中色股份
000803,山高环能
000821,京山轻机
000829,天音控股
000852,石化机械
000875,吉电股份
000902,新洋丰
000917,电广传媒
000922,佳电股份
000925,众合科技
000928,中钢国际
000987,越秀资本
000990,诚志股份
001202,炬申股份
001216,华瓷股份
001322,箭牌家居
001330,博纳影业
001387,雪祺电气
002023,海特高新
002033,丽江股份
002036,联创电子
002039,黔源电力
002044,美年健康
002063,远光软件
002082,万邦德
002090,金智科技
002092,中泰化学
002098,浔兴股份
002099,海翔药业
002107,沃华医药
002112,三变科技
002114,罗平锌电
002153,石基信息
002160,常铝股份
002170,芭田股份
002171,楚江新材
002174,游族网络
002177,御银股份
002181,粤 传 媒
002182,宝武镁业
002185,华天科技
002195,岩山科技
002201,九鼎新材
002203,海亮股份
002206,海 利 得
002208,合肥城建
002209,达 意 隆
002216,三全食品
002237,恒邦股份
002242,九阳股份
002243,力合科创
002248,华东数控
002250,联化科技
002258,利尔化学
002264,新 华 都
002278,神开股份
002279,久其软件
002284,亚太股份
002296,辉煌科技
002324,普利特
002328,新朋股份
002331,皖通科技
002333,罗普斯金
002340,格林美
002342,巨力索具
002347,泰尔股份
002350,北京科锐
002354,天娱数科
002357,富临运业
002358,森源电气
002367,康力电梯
002373,千方科技
002378,章源钨业
002382,蓝帆医疗
002394,联发股份
002400,省广集团
002405,四维图新
002406,远东传动
002414,高德红外
002416,爱施德
002429,兆驰股份
002440,闰土股份
002446,盛路通信
002451,摩恩电气
002452,长高电新
002462,嘉事堂
002483,润邦股份
002493,荣盛石化
002510,天汽模
002516,旷达科技
002532,天山铝业
002533,金杯电工
002538,司尔特
002539,云图控股
002546,新联电子
002552,宝鼎科技
002556,辉隆股份
002560,通达股份
002561,徐家汇
002574,明牌珠宝
002582,好想你
002587,奥拓电子
002591,恒大高新
002624,完美世界
002627,三峡旅游
002636,金安国纪
002643,万润股份
002658,雪迪龙
002659,凯文教育
002677,浙江美大
002696,百洋股份
002712,思美传媒
002716,湖南白银
002729,好利科技
002745,木林森
002766,索菱股份
002769,普路通
002772,众兴菌业
002774,快意电梯
002787,华源控股
002799,环球印务
002800,天顺股份
002803,吉宏股份
002842,翔鹭钨业
002856,美芝股份
002858,力盛体育
002877,智能自控
002910,庄园牧场
002921,联诚精密
002945,华林证券
002949,华阳国际
002968,新大正
002969,嘉美包装
003039,顺控发展
600026,中远海能
600028,中国石化
600029,南方航空
600075,新疆天业
600100,同方股份
600120,浙江东方
600133,东湖高新
600152,维科技术
600176,中国巨石
600192,长城电工
600198,大唐电信
600219,南山铝业
600226,亨通股份
600237,铜峰电子
600251,冠农股份
600257,大湖股份
600258,首旅酒店
600273,嘉化能源
600278,东方创业
600295,鄂尔多斯
600302,标准股份
600328,中盐化工
600331,宏达股份
600338,西藏珠峰
600348,华阳股份
600352,浙江龙盛
600367,红星发展
600372,中航机载
600397,江钨装备
600399,抚顺特钢
600409,三友化工
600416,湘电股份
600435,北方导航
600468,百利电气
600481,双良节能
600497,驰宏锌锗
600517,国网英大
600523,贵航股份
600531,豫光金铅
600538,国发股份
600550,保变电气
600552,凯盛科技
600556,天下秀
600558,大西洋
600577,精达股份
600583,海油工程
600586,金晶科技
600589,大位科技
600590,泰豪科技
600596,新安股份
600598,北大荒
600618,氯碱化工
600637,东方明珠
600667,太极实业
600676,交运股份
600703,三安光电
600710,苏美达
600713,南京医药
600714,金瑞矿业
600718,东软集团
600724,宁波富达
600736,苏州高新
600765,中航重机
600768,宁波富邦
600773,西藏城投
600775,南京熊猫
600784,鲁银投资
600785,新华百货
600805,悦达投资
600843,上工申贝
600869,远东股份
600888,新疆众和
600889,南京化纤
600909,华安证券
600927,永安期货
600955,维远股份
600961,株冶集团
600965,福成股份
600970,中材国际
600986,浙文互联
600995,南网储能
601061,中信金属
601108,财通证券
601111,中国国航
601116,三江购物
601121,宝地矿业
601156,东航物流
601163,三角轮胎
601179,中国西电
601212,白银有色
601226,华电科工
601233,桐昆股份
601319,中国人保
601339,百隆东方
601360,三六零
601600,中国铝业
601611,中国核建
601700,风范股份
601808,中海油服
601857,中国石油
601872,招商轮船
601886,江河集团
601958,金钼股份
603002,宏昌电子
603012,创力集团
603015,弘讯科技
603017,中衡设计
603025,大豪科技
603050,科林电气
603058,永吉股份
603103,横店影视
603112,华翔股份
603132,金徽股份
603161,科华控股
603169,兰石重装
603191,望变电气
603212,赛伍技术
603278,大业股份
603305,旭升集团
603317,天味食品
603331,百达精工
603356,华菱精工
603387,基蛋生物
603488,展鹏科技
603515,欧普照明
603577,汇金通
603588,高能环境
603608,天创时尚
603682,锦和商管
603687,大胜达
603703,盛洋科技
603708,家家悦
603727,博迈科
603730,岱美股份
603739,蔚蓝生物
603759,海天股份
603766,隆鑫通用
603808,歌力思
603861,白云电器
603889,新澳股份
603901,永创智能
603915,国茂股份
603926,铁流股份
603966,法兰泰克
603995,甬金股份
603997,继峰股份
603999,读者传媒
605007,五洲特纸
605066,天正电气
605136,丽人丽妆
605155,西大门
688022,瀚川智能
688119,中钢洛耐
688176,亚虹医药
688207,格灵深瞳
688280,精进电动
688327,云从科技
688352,颀中科技
688387,信科移动
688432,有研硅
688469,芯联集成
688509,正元地信
688517,金冠电气
688556,高测股份
688560,明冠新材
688565,力源科技
688579,山大地纬
688586,江航装备
688779,五矿新能
