代码,名称,今日涨幅
002679,福建金森,10.04
601012,隆基绿能,10.01
600732,爱旭股份,10.0
002623,亚玛顿,9.98
600173,卧龙新能,9.94
002459,晶澳科技,8.86
002125,湘潭电化,8.34
601865,福莱特,7.9
002860,星帅尔,7.88
002129,TCL中环,7.85
600876,凯盛新能,6.54
600829,人民同泰,6.08
603883,老百姓,5.93
002174,游族网络,5.85
603628,清源股份,5.74
600185,珠免集团,5.71
002634,棒杰股份,5.71
600172,黄河旋风,5.53
600212,绿能慧充,5.46
002731,萃华珠宝,4.28
600513,联环药业,4.26
603421,鼎信通讯,3.02
000819,岳阳兴长,2.75
002038,双鹭药业,2.48
002307,北新路桥,2.33
601298,青岛港,2.24
600833,第一医药,2.08
002137,实益达,1.89
600655,豫园股份,1.51
