代码,名称,今日涨幅
001299,美能能源,10.03
600961,株冶集团,10.03
002297,博云新材,9.99
600152,维科技术,9.99
002083,孚日股份,9.99
002237,恒邦股份,9.99
603032,德新科技,9.98
605388,均瑶健康,9.96
002033,丽江股份,9.96
002521,齐峰新材,9.05
603890,春秋电子,8.62
605303,园林股份,8.01
600338,西藏珠峰,8.0
603399,永杉锂业,7.63
002798,帝欧水华,6.6
600490,鹏欣资源,6.36
600176,中国巨石,6.11
603101,汇嘉时代,5.82
603158,腾龙股份,5.65
600126,杭钢股份,5.44
003018,金富科技,5.3
002342,巨力索具,4.96
002532,天山铝业,4.77
600595,中孚实业,4.76
601002,晋亿实业,4.41
603458,勘设股份,4.21
002245,蔚蓝锂芯,4.1
600531,豫光金铅,4.08
601600,中国铝业,4.07
002201,九鼎新材,3.9
002361,神剑股份,3.88
601339,百隆东方,3.73
002272,川润股份,3.42
600241,时代万恒,3.26
001330,博纳影业,3.17
603703,盛洋科技,3.13
600219,南山铝业,3.06
002805,丰元股份,3.05
605055,迎丰股份,3.01
600748,上实发展,2.72
603960,克来机电,2.67
000060,中金岭南,2.66
603958,哈森股份,2.64
603876,鼎胜新材,2.59
000758,中色股份,2.39
600459,贵研铂业,2.18
603889,新澳股份,2.01
002115,三维通信,1.96
002678,珠江钢琴,1.9
000796,凯撒旅业,1.85
600589,大位科技,1.79
002846,英联股份,1.72
002345,潮宏基,1.6
002998,优彩资源,1.58
002406,远东传动,1.58
603909,建发合诚,1.58
605300,佳禾食品,1.57
603305,旭升集团,1.47
603165,荣晟环保,1.39
000829,天音控股,1.31
002879,长缆科技,0.94
002783,凯龙股份,0.83
600138,中青旅,0.75
601288,农业银行,0.72
002825,纳尔股份,0.71
600749,西藏旅游,0.5
600480,凌云股份,0.44
002571,德力股份,0.41
603085,天成自控,0.35
603327,福蓉科技,0.19
603809,豪能股份,0.18
002582,好想你,0.16
000810,创维数字,0.08
603002,宏昌电子,0.08
600419,天润乳业,0.0
603915,国茂股份,-0.13
002824,和胜股份,-0.63
600855,航天长峰,-0.65
603738,泰晶科技,-0.82
002648,卫星化学,-1.02
000026,飞亚达,-1.28
000626,远大控股,-1.38
002418,康盛股份,-2.56
003036,泰坦股份,-2.7
605189,富春染织,-4.43
